20100913.0000,41.0000,0.0620,0.0640,0.0607,0.0622,10076.3300,0.0627,0.0010
20100914.0000,125.0000,0.0620,0.1750,0.0610,0.0620,14014.8000,0.0626,0.0134
20100915.0000,19.0000,0.0625,0.0625,0.0604,0.0604,3651.8500,0.0611,0.0006
20100916.0000,2.0000,0.0618,0.0619,0.0618,0.0619,730.0000,0.0619,0.0001
20100917.0000,26.0000,0.0609,0.0609,0.0590,0.0590,7262.0000,0.0604,0.0005
20100918.0000,23.0000,0.0590,0.0610,0.0576,0.0610,7092.6090,0.0603,0.0012
20100919.0000,28.0000,0.0609,0.0627,0.0600,0.0627,12852.1700,0.0620,0.0007
20100920.0000,33.0000,0.0621,0.0634,0.0620,0.0621,14307.9400,0.0623,0.0004
20100921.0000,24.0000,0.0631,0.0633,0.0623,0.0626,5735.9460,0.0627,0.0004
20100922.0000,30.0000,0.0624,0.0624,0.0615,0.0622,11560.4000,0.0621,0.0003
20100923.0000,56.0000,0.0621,0.0630,0.0615,0.0623,15505.3300,0.0626,0.0004
20100924.0000,8.0000,0.0621,0.0624,0.0621,0.0622,684.3750,0.0623,0.0001
20100925.0000,17.0000,0.0622,0.0624,0.0617,0.0620,2152.5000,0.0618,0.0002
20100926.0000,22.0000,0.0620,0.0623,0.0619,0.0620,12058.1200,0.0620,0.0001
20100927.0000,47.0000,0.0621,0.0623,0.0619,0.0622,10752.2400,0.0622,0.0001
20100928.0000,34.0000,0.0620,0.0627,0.0617,0.0619,7086.1530,0.0620,0.0002
20100929.0000,63.0000,0.0620,0.0620,0.0615,0.0619,23475.6400,0.0618,0.0001
20100930.0000,27.0000,0.0617,0.0619,0.0616,0.0619,7917.0250,0.0617,0.0001
20101001.0000,19.0000,0.0619,0.0620,0.0619,0.0620,1717.4500,0.0620,4.9187
20101002.0000,38.0000,0.0619,0.0619,0.0612,0.0614,13059.7300,0.0614,0.0002
20101003.0000,35.0000,0.0614,0.0614,0.0610,0.0611,7172.6330,0.0613,0.0001
20101004.0000,52.0000,0.0611,0.0620,0.0608,0.0613,33995.3600,0.0612,0.0003
20101005.0000,89.0000,0.0613,0.0630,0.0609,0.0614,27526.6100,0.0617,0.0006
20101006.0000,92.0000,0.0614,0.0635,0.0612,0.0628,33433.3000,0.0625,0.0007
20101007.0000,114.0000,0.0631,0.0670,0.0628,0.0670,43692.9800,0.0644,0.0012
20101008.0000,258.0000,0.0670,0.0880,0.0100,0.0868,139287.2000,0.0774,0.0075
20101009.0000,365.0000,0.0841,0.1200,0.0680,0.0938,187846.9000,0.0857,0.0084
20101010.0000,86.0000,0.0930,0.1301,0.0800,0.0965,50684.1900,0.0965,0.0131
20101011.0000,18.0000,0.0910,0.1030,0.0910,0.0950,14092.9000,0.0990,0.0035
20101012.0000,82.0000,0.0940,0.0990,0.0820,0.0949,25660.7400,0.0934,0.0032
20101013.0000,68.0000,0.0920,0.1050,0.0920,0.1050,47557.2600,0.0959,0.0042
20101014.0000,62.0000,0.1045,0.1045,0.0650,0.1020,37217.2800,0.0995,0.0100
20101015.0000,36.0000,0.1000,0.1190,0.0920,0.1050,24643.3300,0.1037,0.0065
20101016.0000,9.0000,0.1000,0.1030,0.1000,0.1010,6284.7080,0.1008,0.0013
20101017.0000,16.0000,0.1020,0.1045,0.1000,0.1020,18222.1900,0.1020,0.0013
20101018.0000,25.0000,0.1030,0.1030,0.0970,0.1024,25665.0800,0.1010,0.0016
20101019.0000,18.0000,0.1000,0.1019,0.0970,0.0970,6235.1000,0.1000,0.0016
20101020.0000,46.0000,0.1000,0.1030,0.0940,0.0990,31855.0000,0.1011,0.0023
20101021.0000,35.0000,0.0972,0.1090,0.0970,0.1070,44867.0000,0.1029,0.0031
20101022.0000,41.0000,0.1015,0.1090,0.1015,0.1025,34603.9000,0.1059,0.0022
20101023.0000,11.0000,0.1080,0.1090,0.1045,0.1055,4423.4690,0.1089,0.0015
20101024.0000,59.0000,0.1080,0.1900,0.1080,0.1150,13800.2300,0.1131,0.0232
20101025.0000,49.0000,0.0901,0.1900,0.0901,0.1320,30299.6300,0.1469,0.0259
20101026.0000,27.0000,0.1330,0.1800,0.1330,0.1503,19219.1200,0.1558,0.0133
20101027.0000,63.0000,0.1510,0.1900,0.1510,0.1877,65605.8700,0.1767,0.0109
